### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
10	1	5.9852557854943536	0.8780586954324368	0.0007794711874578253	0.0013807943612642896	0.008444072355737868	0.00286683961874335	0.5001435338012242
20	1	5.962023077799773	0.862800544794656	0.0015166726157397705	0.0010696119481540857	0.0028251936436553726	0.002432515095674394	0.5002870263985457
30	1	5.948969064781423	0.852353101122203	0.058655669403227105	0.004681362745404678	0.0071495450710855665	0.0035803388816058267	0.5004304778037906
40	1	5.95819924911427	0.8451722864324623	0.05040682609074976	0.011294928239752554	0.017690895307334815	0.005493756141000235	0.5005738880287841
50	1	5.961970218811915	0.8405592563819116	0.03442222034677717	0.010189031803377087	0.029703537344443417	0.009453774406896544	0.5007172570853491
60	1	5.96416903886408	0.8375202847341731	0.05279829965559013	0.011104342094386372	0.019235525099766455	0.00858912114142727	0.5008605849853024
70	1	5.943373263866735	0.8351407748763383	0.028757997011862962	0.011520486415092195	0.0009481564550438318	0.004146428141852236	0.5010038717404574
80	1	5.934821000838708	0.8334118342776463	0.026426467165674702	0.008192208226455291	0.01186472428749993	0.004101295545147227	0.5011471173626282
90	1	5.918198982333916	0.8320184193889041	0.04139590796979439	0.00829706702269636	0.021836440978492046	0.007237474873773218	0.5012903218636234
100	1	5.936769774181325	0.8312469048964676	0.05711717634467191	0.011295142893320781	0.030981804109110604	0.00996762153307913	0.501433485255244
110	1	5.977825537458061	0.8311953011210956	0.04208365704615972	0.012600128979971273	0.005298785608775331	0.007116604840675123	0.5015766075492931
120	1	5.962998028119039	0.8313935033030124	0.024388350106059276	0.009087635094108015	0.002690756206287858	0.0034729878943189105	0.50171968875757
130	1	5.9712240766587055	0.8314641410832323	0.03396959137974699	0.007861769094166778	0.013813141402952579	0.0031280720825064396	0.5018627288918648
140	1	5.976926263565269	0.8316367374317281	0.05513094277227333	0.010775893617446677	0.007712216030662088	0.0029835196361203014	0.5020057279639709
150	1	5.955750510232166	0.8317099645121465	0.05474587763601279	0.012876278309940856	0.008027480300909636	0.0029814990107588815	0.5021486859856782
160	1	5.974694398021007	0.831622539968161	0.0472859495189279	0.013022526321476153	0.004096456323529785	0.003099473175195346	0.5022916029687686
170	1	5.97317074494716	0.8316484645372239	0.019819570577639105	0.008629738123882949	0.00340297461881794	0.0022115144258216704	0.5024344789250227
180	1	6.002893052550467	0.8319932625386782	0.011556446009379748	0.006917568521786571	0.0074344951685264855	0.0018822629133292453	0.502577313866219
190	1	5.962541597182461	0.831843139717879	0.014159714058274455	0.005637784912496193	0.00357789712265998	0.00142483097824895	0.5027201078041313
200	1	5.984871469536403	0.8318889551245885	0.00630968604787859	0.004385536788558199	0.012170202982989656	0.0024748739860360127	0.5028628607505286
210	1	5.993232638945677	0.8321853716778244	0.005225034904392052	0.0021513969717352924	0.01207689113700472	0.0024059414203818396	0.5030055727171826
220	1	5.973203082364476	0.8324104576029008	0.03221995353649874	0.004209858553180651	0.022757308277162172	0.003140111820969373	0.503148243715854
230	1	5.960403970095179	0.8319825976554017	0.05245199289521819	0.008521612486467179	0.009733740246243303	0.006608345872299933	0.5032908737583023
240	1	5.936579821780897	0.8313530206446026	0.03519540435648093	0.010683551768424287	0.04046537158117288	0.014289786547287749	0.5034334628562869
250	1	5.928707113289657	0.830857938585071	0.04381411038509816	0.010826382205668894	0.036471263980931576	0.019413810693901357	0.5035760110215602
260	1	5.899187439320706	0.8300541560495397	0.06217153830259227	0.012210721450896155	0.023828670027002386	0.017098161663770352	0.503718518265874
270	1	5.888676909925404	0.8290491132559241	0.06125896622113315	0.014284901080731388	0.026556218760896505	0.015186030220579058	0.503860984600976
280	1	5.895525938632396	0.8285654905579477	0.04920752584195988	0.012817569605932532	0.036925473657493185	0.014406264081918157	0.504003410038607
290	1	5.891200138536882	0.8281609577495553	0.024615739712863228	0.010845074913312006	0.035479249387878165	0.01609146367214664	0.5041457945905102
300	1	5.893060624501559	0.8277887333921826	0.04793212075225339	0.01027317236064871	0.028827093931995628	0.0184319127447985	0.5042881382684214
310	1	5.883308160147233	0.8275406416097136	0.024545909739380704	0.009256569571534956	0.00025138215714952806	0.009641799791854387	0.5044304410840746
