### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
20	1	5.967699752384583	0.8629524622989234	0.000368619180209649	0.0006531099081140153	0.00511200884935952	0.0033917426202744495	0.5002870263985456
40	1	5.947682463115052	0.8453663348113761	0.007004858135038764	0.0007132591398399945	0.01027116958123735	0.002103185664118413	0.5005738880287839
60	1	5.942324397367302	0.8372910285970155	0.0040797779611929635	0.0016364783218285226	0.012663593750257645	0.0056963342142187096	0.5008605849853
80	1	5.947879181219505	0.8335258487305413	0.011299687747405139	0.0019424777275016006	0.0433039549080615	0.012926161237931139	0.5011471173626273
100	1	5.94405669566418	0.8316586986667014	0.017756472252116576	0.0033917246711329114	0.01981279669672163	0.012806328705953197	0.5014334852552419
120	1	5.9411381698772425	0.8307866049891182	0.005772292214727791	0.00178707829061194	0.013613924738930642	0.008086913321784595	0.5017196887575667
140	1	5.914659250632002	0.8297848779830143	0.0031020041093147905	0.0015210478658091145	0.013913112635470464	0.006459745351758292	0.5020057279639706
160	1	5.936765083864105	0.8294242310280909	0.0012444664414693535	0.0005737279484771374	0.025217147900591992	0.014191341328210602	0.5022916029687674
180	1	5.926394735310569	0.8293029472445128	0.011695182255678182	0.001676634542444977	0.004648515747799267	0.006169543375625995	0.5025773138662181
200	1	5.914441682121498	0.828732306964482	0.0001684832372904722	0.0018574132303972913	0.002097153637333795	0.0037886774564042315	0.5028628607505296
220	1	5.928363896161798	0.8287094603985011	0.008508111682298541	0.0017676399442417094	0.0008057986650467648	0.0036336134879749516	0.5031482437158529
240	1	5.909422579800521	0.8285077052136539	0.0021433194945991766	0.001525181723464273	0.01298376173761789	0.0044306074202343565	0.5034334628562877
260	1	5.889015944161493	0.8276998397477265	0.0180591168397343	0.002900341352880057	0.005821450361519292	0.003070592483839639	0.5037185182658758
280	1	5.890836892067387	0.8273946777949298	0.014126452591395005	0.002978116643461764	0.0014685461140894116	0.0018836399599620217	0.5040034100386102
300	1	5.872030356330093	0.8267506853228136	0.024481519659435964	0.005110161864673433	0.021270975919568388	0.004445925367770091	0.504288138268423
320	1	5.852304890828635	0.8255591850535495	0.023087844291457858	0.00487180720968532	0.023157594816475387	0.010319811726469903	0.5045727030492014
340	1	5.86612846845825	0.8251851301754688	0.038405984112732904	0.007334362334032145	0.0292218396437071	0.011541915778236897	0.5048571044747697
360	1	5.847294093254437	0.8248372988403703	0.04381458412923375	0.009688418203039034	0.03491668754784241	0.015229515050327836	0.5051413426389059
380	1	5.8496170413568755	0.8243739333191856	0.05849036719756396	0.012372596743375113	0.02109830327308363	0.012253541490555743	0.5054254176353276
400	1	5.82464021233353	0.8240268353463379	0.017334065578859352	0.007672685610487455	0.013556803127714047	0.007304414089380589	0.5057093295577034
420	1	5.818449513480743	0.8229375457706379	0.025279623304186396	0.005536798793053508	0.006904434078148889	0.002916845305498536	0.5059930784996461
440	1	5.819904548923059	0.8222864954993283	0.02627201524505464	0.00664429722365753	0.02814611251368243	0.009696755431852049	0.5062766645547144
460	1	5.807401881635699	0.8221098968137507	0.03262987723100682	0.007202041434235556	0.03705505348503692	0.017722770880532507	0.5065600878164148
480	1	5.802516344434567	0.8215701171665118	0.020514604188314293	0.006006866171634463	0.019065416437825087	0.01421543569348363	0.5068433483782006
500	1	5.803854085546737	0.8213879697539125	0.0057559675226559635	0.0022344752005145634	0.02622065218968355	0.011806252809223353	0.5071264463334658
520	1	5.782172884346392	0.8211252865385985	0.008430980877771421	0.00117848880745532	0.0053516170276117145	0.00683759922230323	0.507409381775559
540	1	5.798384347596324	0.8209022080085107	0.002406728763097714	0.0016043696477721786	0.0067666025623190264	0.004008009169571673	0.5076921547977703
560	1	5.793991590304022	0.8207428682644301	0.009435013551671242	0.0020011228934883915	0.02113284603519173	0.004865987653209859	0.5079747654933369
580	1	5.762826226320985	0.8199795987945874	0.02848919246048853	0.005276762129385382	0.0186600201419292	0.0073278831810723545	0.5082572139554454
600	1	5.764365803590456	0.8192213577384738	0.042675526119686565	0.00945226504967644	0.003455607730814466	0.003402923604221935	0.5085395002772226
620	1	5.752168843964722	0.8188645363909891	0.03454240922381573	0.010537546782007558	0.010525228342246225	0.004651962856113886	0.5088216245517477
640	1	5.74063274972588	0.8182404104905086	0.018300641189377867	0.0077814066328449	0.0018660078360893148	0.002375193119282857	0.5091035868720445
660	1	5.722059977906564	0.8171712034193647	0.006164102149514372	0.004341851990089146	0.007141254382136477	0.002941279202576464	0.5093853873310821
680	1	5.705741150571064	0.8162623876974742	0.0005861469140963379	0.001199687920203386	0.018918430092409032	0.0039579597760610276	0.5096670260217778
700	1	5.713597491098392	0.815764421646616	0.011502066007173139	0.002736708875478581	0.020831893791715534	0.007987893122346046	0.5099485030369956
720	1	5.681589777901723	0.8148882941948324	0.024553858184651518	0.0037186483847802885	0.03253415031224605	0.015184288087864107	0.5102298184695456
740	1	5.683697366830351	0.8139017190489262	0.019583923124126965	0.00556484147087092	0.025361040310965494	0.01371630357399325	0.5105109724121841
760	1	5.650739674758465	0.8130909294968275	0.04436813012600646	0.008525688900258425	0.009508168050248145	0.0073566076390035005	0.510791964957615
780	1	5.632491778998221	0.8115346099099275	0.045196508838036276	0.010115104699972843	0.012372066235549626	0.007217631658702292	0.5110727961984892
800	1	5.632828346754348	0.810433549592308	0.04070060274458692	0.009896807273377403	0.007748965502874394	0.0067915813288811355	0.5113534662274041
820	1	5.621818478293616	0.8099321230846543	0.05639397111589864	0.01143686534443366	0	0.0020929050447483426	0.5116339751369056
840	1	5.614512402727138	0.8094064324331968	0.06670062352330275	0.016373554520856353	0.012662110762901597	0.0044335585336582675	0.5119143230194799
860	1	5.575156625107157	0.8083095047049517	0.058145627110054485	0.015236425733420945	0.010244281473079622	0.0019986787350467477	0.512194509967571
880	1	5.569002083046985	0.8066356391812267	0.04660599459297641	0.01255805413958238	0.02473984780743181	0.00841204475289122	0.5124745360735594
900	1	5.58343797627776	0.8063031993164089	0.04119582529345834	0.009844975973655924	0.01363456060303072	0.010904390071842988	0.5127544014297786
920	1	5.58293834612702	0.806484071561623	0.030919280031143744	0.008453574396412361	0.009552780979048905	0.004891527525560042	0.5130341061285082
940	1	5.56792900556594	0.8060692422299304	0.03471709866281443	0.008988016790309571	0.014283644608469889	0.003134788599307352	0.5133136502619728
960	1	5.576496789750346	0.8060124483872723	0.03098538094273786	0.008774517553403605	0.021481093683705925	0.008151268818355166	0.5135930339223446
980	1	5.595481629764448	0.806327685751755	0.0192708077019439	0.006269639842630666	0.04689302544193122	0.014583960031947354	0.5138722572017453
1000	1	5.589654721182955	0.8064919842780899	0.017659625951845694	0.005378283781246887	0.042791192397119544	0.01996449599170766	0.5141513201922425
1020	1	5.622604760990115	0.807621155651543	0.009696165118506041	0.0024343293701719554	0.030760201971418176	0.01518853200683428	0.5144302229858483
1040	1	5.603235879856978	0.8082906017239696	0.03433360663164307	0.0058029226753625665	0.032271913812910176	0.014143861896025246	0.5147089656745264
1060	1	5.591270532176186	0.8077052544989591	0.021769364702923212	0.00486785851918805	0.019555159192683736	0.011810948110670969	0.5149875483501837
1080	1	5.608525189758117	0.8074787843556783	0.031528700289339275	0.006247329777614872	0.007716227772754769	0.005497804338576149	0.5152659711046769
1100	1	5.617316860378541	0.807976836605638	0.043171963837207034	0.009489184021869162	0.013084676998662056	0.006537874688631623	0.5155442340298091
1120	1	5.618070417751352	0.808730146825206	0.03589914378793421	0.009750023839903227	0.009457026274554421	0.0062972649015694	0.5158223372173322
1140	1	5.6262035489646145	0.8089250554733951	0.0270269738581481	0.009276426465789448	0.011268346029280363	0.007845904189265826	0.5161002807589415
1160	1	5.626728314662126	0.8089637782702197	0.046726530439787306	0.00903538823632994	0.0005512317640100308	0.0028758818485277774	0.5163780647462829
1180	1	5.6370154934681596	0.809418423888455	0.036480150189535834	0.008285067991037143	0	0.0036701007842262685	0.5166556892709493
1200	1	5.6272078693094825	0.8095847104621178	0.03188205319450011	0.008515051305451986	0.001564181871349332	0.0011080384898333833	0.5169331544244813
1220	1	5.624726261513091	0.8092231933759272	0.02391560460505916	0.006095572922566659	0.011865403617848911	0.001886560850616955	0.5172104602983661
1240	1	5.619457823001496	0.8091657680229142	0.024789334241992676	0.006998008669137055	0.012631713371616969	0.006188612516246678	0.5174876069840383
1260	1	5.6034404921496215	0.8087814635754663	0.011951421272060635	0.0032528400058152254	0.0032481741331577105	0.004890098513371485	0.5177645945728793
1280	1	5.59717806030223	0.8082381215491269	0.014569472362611099	0.0033487395759412802	0.005926476379885531	0.0017245888765716171	0.5180414231562201
1300	1	5.595890102504025	0.8076155093720955	0.012147833453214461	0.0025183809933542645	0.004204854437917753	0.0024270468433255678	0.518318092825338
1320	1	5.589701244415806	0.8071897880235274	0.02138570501617057	0.005178627068076037	0.01748791430702003	0.00842302472399916	0.5185946036714596
1340	1	5.578322719014372	0.8070287546652932	0.00775347701972776	0.004955505769607645	0.017900691779800557	0.007846925333775668	0.5188709557857559
1360	1	5.560460097078169	0.8063548922879336	0	0.0018166861604077022	0.013194839379065596	0.005030537154474831	0.5191471492593481
1380	1	5.5685515986217915	0.8058159174132157	0.013941136897213392	0.002311522309156175	0.015714176186545775	0.009849654932926088	0.5194231841833042
1400	1	5.542585440352119	0.8049376733401719	0.0008556599943650219	0.0022113339478358114	0.0018710408569413812	0.0063302540371093985	0.5196990606486394
1420	1	5.549951574722771	0.8045799383264999	0.012927470914110478	0.0015474342342410236	0.00395261511020935	0.0029113156231636897	0.5199747787463188
1440	1	5.553451874039561	0.8044740530972585	0.025876686481662876	0.00445764051445683	0.00509020955338643	0.0015211974684312046	0.5202503385672538
1460	1	5.557984021459225	0.8045987622382403	0.007845787563775056	0.0017216381494253195	0.003764440236650646	0.001838691574316169	0.5205257402023031
1480	1	5.546237964292922	0.8047049634235731	0.02131224541400837	0.003301090886602468	0.008404313949334587	0.004149621278880167	0.5208009837422723
1500	1	5.545035391481878	0.8038969765220759	0.024334516934739526	0.005173170375582794	0.002454444999459862	0.0016454944012289586	0.5210760692779185
1520	1	5.554982767632797	0.8036959656846335	0.0030488500211106333	0.003696468035144042	0.00513950169713069	0.001187330725217845	0.521350996899944
1540	1	5.571814277925374	0.8046797620935995	0.017665344578850956	0.0024243398078993305	0.015231801991827464	0.005020969574464765	0.5216257666989977
1560	1	5.586756911065459	0.8055037087540118	0.004412190492178082	0.0032219641333557617	0.026136375893027922	0.008038650368675352	0.5219003787656787
1580	1	5.59486855257076	0.8062638814937871	4.203198641110232e-05	0.0014016868816658574	0.021935770917536013	0.01237823823274603	0.5221748331905347
1600	1	5.577509782228931	0.8064164687741663	0.014188165398884699	0.0023267994248467078	0.0015464667577840324	0.00776254240044177	0.5224491300640618
1620	1	5.574419934057348	0.80619527209475	0.046792647400385176	0.0082134126734648	0.0017728922446450658	0.0026381801385569094	0.5227232694767009
1640	1	5.578489672282308	0.8060638587075633	0.027428465223357377	0.008862498558386082	0.02175485112049455	0.005637883179050632	0.5229972515188459
1660	1	5.570247605476079	0.8058943617189932	0.029470098535738228	0.007178552670616101	0.012557794953760838	0.009353169539957823	0.5232710762808302
1680	1	5.5782228723310325	0.8056969889986177	0.041053655016344504	0.008285663478209276	0.005647116638191328	0.003738038703761291	0.5235447438529448
1700	1	5.588768702519763	0.8061251728452067	0.04051036727537752	0.009515537311526762	0.0006006381537804332	0.0036306814768284207	0.5238182543254225
1720	1	5.58772903667253	0.8067421402416274	0.04920821686686861	0.013204442866191213	0.015164257599747986	0.005152948199236449	0.5240916077884497
1740	1	5.588310334498325	0.8067304029879959	0.0502805308660658	0.011717118758679536	0.0101553151983294	0.004630376999954171	0.5243648043321569
1760	1	5.588700175757315	0.8068997694388996	0.0403364098737517	0.012192576308878994	0.03115283871944062	0.006521512068983698	0.524637844046625
1780	1	5.596071908181322	0.8069214302314506	0.052943298968388904	0.011759978233762874	0.020486872173880802	0.01205714239332277	0.5249107270218806
1800	1	5.602351819243555	0.8074224142031724	0.025948605303281125	0.008829397643892024	0.0057441736396158976	0.0072444780841467325	0.5251834533479002
