time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	H
0	1	6.0	0.9	0.001	0.001	0.001	0.001	0.5
10	1	5.996057350981679	0.8780846917292734	0.0009841428230924461	0.0005244371791247561	0.0008464817248906227	0.0006549214414177406	0.5001435338012247
20	1	5.9921472428534885	0.8633153841166198	0.0009688884073370046	0.00034703719765953226	0.0007165313105738058	0.00048390794612467605	0.5002870263985456
30	1	5.988264565339958	0.8533366733850992	0.0009542117017171898	0.00027941867584271033	0.000606530659712654	0.0003836943723429876	0.5004304778037909
40	1	5.984407483716596	0.846569625025809	0.0009400576656374038	0.00025227293624562963	0.0005134171190326146	0.00031525305266131496	0.5005738880287839
50	1	5.9805753440863425	0.8419558272153251	0.0009263626705000016	0.00024009302377209308	0.0004345982085071283	0.00026334740115209455	0.5007172570853475
60	1	5.976767907592621	0.8387857991361298	0.0009130676202577761	0.00023348570596928918	0.00036787944117153094	0.00022162804083974497	0.5008605849853
70	1	5.97298507189721	0.8365839602942344	0.0009001233618396873	0.0002289869536896725	0.00031140322391471845	0.00018712925676910873	0.5010038717404566
80	1	5.969226771297415	0.8350315197617282	0.000887491426949253	0.000225315650249379	0.00026359713811587455	0.00015822681626437825	0.5011471173626273
90	1	5.965492942146426	0.833914786089192	0.0008751426711828507	0.00022199530518419912	0.00022313016014859996	0.00013387184739838674	0.5012903218636209
100	1	5.961783511965069	0.8330905180001463	0.0008630553134996526	0.00021884672750177047	0.00018887560283775088	0.00011329643210242289	0.5014334852552419
110	1	5.958098396992007	0.8324626981512536	0.0008512130722947629	0.00021580108446633394	0.00015987974607989812	9.589466258026838e-05	0.5015766075492908
120	1	5.954437502604351	0.8319669641036055	0.0008396036393796584	0.00021283086514434116	0.00013533528323682973	8.116988008751374e-05	0.5017196887575667
130	1	5.95080072459534	0.8315601721092621	0.000828217520870896	0.00020992427641351098	0.00011455884399291527	6.870764316798411e-05	0.5018627288918627
140	1	5.947187950598226	0.8312134015353488	0.0008170471936414024	0.00020707567063032377	9.697196786464126e-05	5.815933134266355e-05	0.5020057279639706
150	1	5.943599061419392	0.830907265616689	0.0008060865071754441	0.00020428191442529685	8.208499862414225e-05	4.923065184376169e-05	0.5021486859856769
160	1	5.940033932215411	0.8306287681841443	0.0007953302662973316	0.0002015409757921327	6.948345122305101e-05	4.167278850252269e-05	0.5022916029687674
170	1	5.936492433507898	0.8303691966883338	0.0007847739430829496	0.0001988513508745679	5.8816471642684333e-05	3.527523234206613e-05	0.5024344789250209
180	1	5.932974432049634	0.8301227098698974	0.0007744134792605678	0.00019621181634596666	4.978706836812248e-05	2.9859831592437147e-05	0.5025773138662181
190	1	5.929479791560358	0.8298853910625542	0.0007642451512185448	0.00019362131317025803	4.214384350953838e-05	2.5275798836336104e-05	0.5027201078041306
200	1	5.926008373350315	0.829654613616762	0.0007542654779837094	0.00019107888668498736	3.5673993347517125e-05	2.1395500725212966e-05	0.5028628607505296
210	1	5.922560036847911	0.8294286155420981	0.0007444711585390695	0.0001885836528709979	3.0197383422585534e-05	1.8110899964869637e-05	0.5030055727171816
